id;ligne;terminus;nom;latitude;longitude
331;1;0;Saint-Paul,_Le_Marais;48.85552;2.36279
332;9;0;Saint-Philippe_du_Roule;48.871955;2.307267
333;4;0;Saint-Placide;48.84727;2.3279
334;4;0;Saint-Sulpice;48.851785;2.332384
335;8;0;Saint-Sébastien-Froissart;48.854346;2.366767
336;3;0;Sentier;48.865734;2.349335
337;4;0;Simplon;48.894597;2.344033
338;12;0;Solférino;48.859248;2.323988
339;2;0;Stalingrad;48.884907;2.369043
340;5;0;Stalingrad;48.884907;2.369043
341;7;0;Stalingrad;48.884907;2.369043
342;4;0;Strasbourg_Saint-Denis;48.869934;2.354422
343;8;0;Strasbourg_Saint-Denis;48.869934;2.354422
344;9;0;Strasbourg_Saint-Denis;48.869934;2.354422
345;7;0;Sully_Morland;48.851612;2.357631
346;10;0;Sèvres_Babylone;48.8534;2.32519
347;12;0;Sèvres_Babylone;48.8534;2.32519
348;6;0;Sèvres_Lecourbe;48.844937;2.30739
349;10;0;Ségur;48.84624;2.31282
350;3;0;Temple;48.86682;2.35984
351;2;0;Ternes;48.87919;2.29617
352;7;0;Tolbiac;48.82941;2.36362
353;12;0;Trinité_d'Estienne_d'Orves;48.87607;2.33332
354;6;0;Trocadéro;48.86219;2.28887
355;9;0;Trocadéro;48.86219;2.28887
356;1;0;Tuileries;48.86486;2.33444
357;11;0;Télégraphe;48.87492;2.40494
358;10;0;Vaneau;48.84747;2.31937
359;13;0;Varenne;48.85536;2.31436
360;12;0;Vaugirard;48.84017;2.30298
361;4;0;Vavin;48.84372;2.32724
362;2;0;Victor_Hugo;48.87131;2.28479
363;7;1;Villejuif,_Louis_Aragon;48.791548;2.36477
364;7;0;Villejuif,_Léo_Lagrange;48.798459;2.365315
365;7;0;Villejuif,_P._Vaillant_Couturier;48.806313;2.364798
366;2;0;Villiers;48.88253;2.31843
367;3;0;Villiers;48.88253;2.31843
368;12;0;Volontaires;48.84025;2.30935
369;9;0;Voltaire;48.85794;2.38091
370;3;0;Wagram;48.88446;2.29934
371;8;0;École_Militaire;48.85554;2.30775
372;8;0;École_Vétérinaire_de_Maisons-Alfort;48.80514;2.42536
373;10;0;Église_d'Auteuil;48.84815;2.26279
374;5;0;Église_de_Pantin;48.894784;2.409216
375;4;0;Étienne_Marcel;48.86352;2.34877
376;RER_A;0;Charles_de_Gaulle_Étoile;48.873819;2.295022
377;RER_A;0;Auber;48.872;2.332
378;RER_A;0;Châtelet_Les_Halles;48.85867;2.347193
379;RER_A;0;Gare_de_Lyon;48.844844;2.373428
380;RER_A;0;Nation;48.848031;2.395155
381;RER_B;0;Gare_du_Nord;48.880931;2.354189
382;RER_B;0;Châtelet_Les_Halles;48.85867;2.347193
383;RER_B;0;Saint_Michel_Notre-Dame;48.853;2.347
384;RER_B;0;Denfert_Rochereau;48.833073;2.332053
385;RER_B;0;Luxembourg;48.846;2.341
386;RER_C;0;Champ_de_Mars_Tour_Eiffel;48.856;2.292
387;RER_C;0;Musée_d'Orsay;48.859;2.326
388;RER_C;0;Saint_Michel _Notre_Dame;48.853;2.347
389;RER_C;0;Gare_d'Austerlitz;48.842;2.366
390;RER_C;0;Bibliothèque_François_Mitterrand;48.829383;2.376273
391;RER_C;0;Invalides;48.861387;2.314987
392;RER_C;0;Javel;48.847989;2.278609
393;RER_C;0;Avenue_du_Président_Kennedy;48.852;2.267
394;RER_D;0;Gare_du_Nord;48.880931;2.354189
395;RER_D;0;Châtelet_Les_Halles;48.85867;2.347193
396;RER_D;0;Gare_de_Lyon;48.844844;2.373428
397;RER_D;0;Bibliothèque_François_Mitterrand;48.829383;2.376273
398;RER_E;0;Magenta;48.881;2.358
